nuc,name,category_name,category_code,total
WWEL,Albany Public Library. Wellstead Library.,Books & Libraries,book,0
WWEL,Albany Public Library. Wellstead Library.,"Diaries, Letters & Archives",diary,0
WWEL,Albany Public Library. Wellstead Library.,"Images, Maps & Artefacts",image,0
WWEL,Albany Public Library. Wellstead Library.,Magazines & Newsletters,magazine,0
WWEL,Albany Public Library. Wellstead Library.,"Music, Audio & Video",music,0
WWEL,Albany Public Library. Wellstead Library.,Research & Reports,research,0
VAPRC,Albert Park-South Melbourne Rowing Club.,Books & Libraries,book,0
VAPRC,Albert Park-South Melbourne Rowing Club.,"Diaries, Letters & Archives",diary,3
VAPRC,Albert Park-South Melbourne Rowing Club.,"Images, Maps & Artefacts",image,13
VAPRC,Albert Park-South Melbourne Rowing Club.,Magazines & Newsletters,magazine,0
VAPRC,Albert Park-South Melbourne Rowing Club.,"Music, Audio & Video",music,0
VAPRC,Albert Park-South Melbourne Rowing Club.,Research & Reports,research,0
NABH,Albury Wodonga Health.,Books & Libraries,book,1239
NABH,Albury Wodonga Health.,"Diaries, Letters & Archives",diary,1
NABH,Albury Wodonga Health.,"Images, Maps & Artefacts",image,4
NABH,Albury Wodonga Health.,Magazines & Newsletters,magazine,0
NABH,Albury Wodonga Health.,"Music, Audio & Video",music,75
NABH,Albury Wodonga Health.,Research & Reports,research,100
NALB,AlburyCity libraries. Albury LibraryMuseum.,Books & Libraries,book,14735
NALB,AlburyCity libraries. Albury LibraryMuseum.,"Diaries, Letters & Archives",diary,163
NALB,AlburyCity libraries. Albury LibraryMuseum.,"Images, Maps & Artefacts",image,169
NALB,AlburyCity libraries. Albury LibraryMuseum.,Magazines & Newsletters,magazine,1
NALB,AlburyCity libraries. Albury LibraryMuseum.,"Music, Audio & Video",music,2064
NALB,AlburyCity libraries. Albury LibraryMuseum.,Research & Reports,research,779
NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,Books & Libraries,book,1663
NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,"Diaries, Letters & Archives",diary,10840
NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,"Images, Maps & Artefacts",image,20429
NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,Magazines & Newsletters,magazine,0
NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,"Music, Audio & Video",music,422
NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,Research & Reports,research,0
,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,Books & Libraries,book,0
,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,"Diaries, Letters & Archives",diary,0
,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,"Images, Maps & Artefacts",image,0
,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,Magazines & Newsletters,magazine,0
,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,"Music, Audio & Video",music,0
,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,Research & Reports,research,0
VADF,Alcohol and Drug Foundation. ADF Library.,Books & Libraries,book,2902
VADF,Alcohol and Drug Foundation. ADF Library.,"Diaries, Letters & Archives",diary,3
VADF,Alcohol and Drug Foundation. ADF Library.,"Images, Maps & Artefacts",image,5
VADF,Alcohol and Drug Foundation. ADF Library.,Magazines & Newsletters,magazine,0
VADF,Alcohol and Drug Foundation. ADF Library.,"Music, Audio & Video",music,85
VADF,Alcohol and Drug Foundation. ADF Library.,Research & Reports,research,839
SALC,Alexandrina Libraries. Goolwa Library.,Books & Libraries,book,31369
SALC,Alexandrina Libraries. Goolwa Library.,"Diaries, Letters & Archives",diary,82
SALC,Alexandrina Libraries. Goolwa Library.,"Images, Maps & Artefacts",image,171
SALC,Alexandrina Libraries. Goolwa Library.,Magazines & Newsletters,magazine,0
SALC,Alexandrina Libraries. Goolwa Library.,"Music, Audio & Video",music,19267
SALC,Alexandrina Libraries. Goolwa Library.,Research & Reports,research,429
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,Books & Libraries,book,3
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,"Diaries, Letters & Archives",diary,4
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,"Images, Maps & Artefacts",image,38
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,Magazines & Newsletters,magazine,0
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,"Music, Audio & Video",music,0
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,Research & Reports,research,0
XASPL,Alice Springs Town Council. Alice Springs Public Library.,Books & Libraries,book,106295
XASPL,Alice Springs Town Council. Alice Springs Public Library.,"Diaries, Letters & Archives",diary,203
XASPL,Alice Springs Town Council. Alice Springs Public Library.,"Images, Maps & Artefacts",image,326
XASPL,Alice Springs Town Council. Alice Springs Public Library.,Magazines & Newsletters,magazine,0
XASPL,Alice Springs Town Council. Alice Springs Public Library.,"Music, Audio & Video",music,26285
XASPL,Alice Springs Town Council. Alice Springs Public Library.,Research & Reports,research,3408
VAACS,All Access.,Books & Libraries,book,1
VAACS,All Access.,"Diaries, Letters & Archives",diary,0
VAACS,All Access.,"Images, Maps & Artefacts",image,0
VAACS,All Access.,Magazines & Newsletters,magazine,0
VAACS,All Access.,"Music, Audio & Video",music,0
VAACS,All Access.,Research & Reports,research,0
QASAS,All Saints Anglican School.,Books & Libraries,book,0
QASAS,All Saints Anglican School.,"Diaries, Letters & Archives",diary,0
QASAS,All Saints Anglican School.,"Images, Maps & Artefacts",image,0
QASAS,All Saints Anglican School.,Magazines & Newsletters,magazine,0
QASAS,All Saints Anglican School.,"Music, Audio & Video",music,0
